Resistance,Thumb,Index,Middle,Ring,Pinky,,,,,,
Straight resistance,143204.625,55087.67969,50916.53125,54617.53125,147378.5938,,,,,,
Bend resistance,309419.25,136426.375,105947.0859,122952.75,334740.3125,,,,,,
Time to read data,,,,,,,,,,,
Label,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
Recording starts in 2s,,,,,,,,,,,
A,33,30,39,34,14,-4.38724,6.490532,5.705686,0.017104,-0.019548,-0.002443
A,33,31,41,34,15,-4.38724,6.490532,5.705686,0.017104,-0.019548,-0.002443
A,34,30,39,32,15,-4.38724,6.490532,5.705686,0.017104,-0.019548,-0.002443
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,30,29,39,34,12,-4.362116,6.468996,5.547759,-0.013439,0.014661,0.017104
A,32,29,42,34,16,-4.362116,6.468996,5.547759,-0.013439,0.014661,0.017104
A,33,29,40,34,14,-4.362116,6.468996,5.547759,-0.013439,0.014661,0.017104
A,32,29,37,33,15,-4.362116,6.468996,5.547759,-0.013439,0.014661,0.017104
A,32,30,37,34,16,-4.362116,6.468996,5.547759,-0.013439,0.014661,0.017104
A,32,30,41,37,15,-4.362116,6.468996,5.547759,-0.013439,0.014661,0.017104
A,31,30,39,36,15,-4.362116,6.468996,5.547759,-0.013439,0.014661,0.017104
A,33,29,42,34,15,-4.362116,6.468996,5.547759,-0.013439,0.014661,0.017104
A,33,31,41,35,15,-4.362116,6.468996,5.547759,-0.013439,0.014661,0.017104
A,32,31,40,34,13,-4.362116,6.468996,5.547759,-0.013439,0.014661,0.017104
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,32,31,37,34,15,-3.755535,6.457032,5.85763,0.109956,-0.0281,-0.042761
A,32,31,41,35,15,-3.755535,6.457032,5.85763,0.109956,-0.0281,-0.042761
A,32,30,42,34,16,-3.755535,6.457032,5.85763,0.109956,-0.0281,-0.042761
A,32,29,39,36,15,-3.755535,6.457032,5.85763,0.109956,-0.0281,-0.042761
A,30,30,39,34,15,-3.755535,6.457032,5.85763,0.109956,-0.0281,-0.042761
A,31,31,41,36,15,-3.755535,6.457032,5.85763,0.109956,-0.0281,-0.042761
A,32,30,41,36,15,-3.755535,6.457032,5.85763,0.109956,-0.0281,-0.042761
A,31,31,40,34,15,-3.755535,6.457032,5.85763,0.109956,-0.0281,-0.042761
A,32,31,41,34,15,-3.755535,6.457032,5.85763,0.109956,-0.0281,-0.042761
A,31,30,41,35,15,-3.755535,6.457032,5.85763,0.109956,-0.0281,-0.042761
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,26,28,41,34,15,-3.678965,6.330213,6.60419,0.142942,-0.083078,-0.013439
A,29,26,39,32,14,-3.678965,6.330213,6.60419,0.142942,-0.083078,-0.013439
A,28,29,37,32,15,-3.678965,6.330213,6.60419,0.142942,-0.083078,-0.013439
A,29,28,38,33,14,-3.678965,6.330213,6.60419,0.142942,-0.083078,-0.013439
A,29,30,40,35,15,-3.678965,6.330213,6.60419,0.142942,-0.083078,-0.013439
A,29,30,38,34,14,-3.678965,6.330213,6.60419,0.142942,-0.083078,-0.013439
A,29,29,40,33,15,-3.678965,6.330213,6.60419,0.142942,-0.083078,-0.013439
A,29,28,41,34,16,-3.678965,6.330213,6.60419,0.142942,-0.083078,-0.013439
A,29,28,38,34,14,-3.678965,6.330213,6.60419,0.142942,-0.083078,-0.013439
A,30,28,39,35,15,-3.678965,6.330213,6.60419,0.142942,-0.083078,-0.013439
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,29,29,41,34,15,-6.689136,4.864608,8.103294,0.322537,0.180816,0.026878
A,28,30,41,32,15,-6.689136,4.864608,8.103294,0.322537,0.180816,0.026878
A,29,30,37,34,14,-6.689136,4.864608,8.103294,0.322537,0.180816,0.026878
A,29,29,39,35,15,-6.689136,4.864608,8.103294,0.322537,0.180816,0.026878
A,29,29,36,33,13,-6.689136,4.864608,8.103294,0.322537,0.180816,0.026878
A,30,30,40,33,14,-6.689136,4.864608,8.103294,0.322537,0.180816,0.026878
A,30,29,42,34,15,-6.689136,4.864608,8.103294,0.322537,0.180816,0.026878
A,29,27,39,32,14,-6.689136,4.864608,8.103294,0.322537,0.180816,0.026878
A,30,31,41,34,15,-6.689136,4.864608,8.103294,0.322537,0.180816,0.026878
A,30,29,37,34,13,-6.689136,4.864608,8.103294,0.322537,0.180816,0.026878
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,30,30,41,32,15,-4.863412,6.149554,6.138787,-0.700052,0.6634,1.226617
A,29,30,39,34,14,-4.863412,6.149554,6.138787,-0.700052,0.6634,1.226617
A,29,30,41,33,15,-4.863412,6.149554,6.138787,-0.700052,0.6634,1.226617
A,29,28,40,32,14,-4.863412,6.149554,6.138787,-0.700052,0.6634,1.226617
A,29,29,36,33,15,-4.863412,6.149554,6.138787,-0.700052,0.6634,1.226617
A,29,28,39,34,14,-4.863412,6.149554,6.138787,-0.700052,0.6634,1.226617
A,29,29,36,32,15,-4.863412,6.149554,6.138787,-0.700052,0.6634,1.226617
A,29,31,37,32,15,-4.863412,6.149554,6.138787,-0.700052,0.6634,1.226617
A,27,29,40,34,14,-4.863412,6.149554,6.138787,-0.700052,0.6634,1.226617
A,28,29,40,32,15,-4.863412,6.149554,6.138787,-0.700052,0.6634,1.226617
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,29,30,40,34,15,-1.995614,6.108876,7.629515,0.108734,0.096517,0.164934
A,28,30,39,32,14,-1.995614,6.108876,7.629515,0.108734,0.096517,0.164934
A,28,30,42,34,15,-1.995614,6.108876,7.629515,0.108734,0.096517,0.164934
A,27,30,41,32,14,-1.995614,6.108876,7.629515,0.108734,0.096517,0.164934
A,28,29,37,34,15,-1.995614,6.108876,7.629515,0.108734,0.096517,0.164934
A,29,30,42,34,14,-1.995614,6.108876,7.629515,0.108734,0.096517,0.164934
A,28,29,38,34,15,-1.995614,6.108876,7.629515,0.108734,0.096517,0.164934
A,27,30,39,32,15,-1.995614,6.108876,7.629515,0.108734,0.096517,0.164934
A,28,29,39,33,14,-1.995614,6.108876,7.629515,0.108734,0.096517,0.164934
A,29,29,39,35,15,-1.995614,6.108876,7.629515,0.108734,0.096517,0.164934
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,29,30,42,34,15,-6.07418,2.307878,7.848458,0.120951,0.054978,-0.157603
A,29,29,37,32,13,-6.07418,2.307878,7.848458,0.120951,0.054978,-0.157603
A,29,29,40,34,14,-6.07418,2.307878,7.848458,0.120951,0.054978,-0.157603
A,29,30,41,34,16,-6.07418,2.307878,7.848458,0.120951,0.054978,-0.157603
A,29,29,38,33,15,-6.07418,2.307878,7.848458,0.120951,0.054978,-0.157603
A,29,30,39,34,14,-6.07418,2.307878,7.848458,0.120951,0.054978,-0.157603
A,26,30,40,34,15,-6.07418,2.307878,7.848458,0.120951,0.054978,-0.157603
A,27,30,39,33,16,-6.07418,2.307878,7.848458,0.120951,0.054978,-0.157603
A,27,30,38,33,14,-6.07418,2.307878,7.848458,0.120951,0.054978,-0.157603
A,27,30,39,32,14,-6.07418,2.307878,7.848458,0.120951,0.054978,-0.157603
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,4,0,0,-1,1,-5.018946,3.555735,9.394221,0.28955,0.211359,0.095295
A,14,2,8,5,7,-5.018946,3.555735,9.394221,0.28955,0.211359,0.095295
A,39,29,38,36,21,-5.018946,3.555735,9.394221,0.28955,0.211359,0.095295
A,41,45,58,53,27,-5.018946,3.555735,9.394221,0.28955,0.211359,0.095295
A,42,50,59,58,29,-5.018946,3.555735,9.394221,0.28955,0.211359,0.095295
A,41,49,57,53,28,-5.018946,3.555735,9.394221,0.28955,0.211359,0.095295
A,40,46,53,53,27,-5.018946,3.555735,9.394221,0.28955,0.211359,0.095295
A,39,47,54,51,25,-5.018946,3.555735,9.394221,0.28955,0.211359,0.095295
A,39,45,53,51,26,-5.018946,3.555735,9.394221,0.28955,0.211359,0.095295
A,39,43,54,52,26,-5.018946,3.555735,9.394221,0.28955,0.211359,0.095295
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,36,44,47,44,23,-2.256432,3.713661,7.91785,0.520457,-0.393397,-1.204626
A,36,43,51,45,23,-2.256432,3.713661,7.91785,0.520457,-0.393397,-1.204626
A,37,41,50,44,22,-2.256432,3.713661,7.91785,0.520457,-0.393397,-1.204626
A,36,43,46,44,23,-2.256432,3.713661,7.91785,0.520457,-0.393397,-1.204626
A,36,44,50,47,23,-2.256432,3.713661,7.91785,0.520457,-0.393397,-1.204626
A,36,44,50,44,23,-2.256432,3.713661,7.91785,0.520457,-0.393397,-1.204626
A,37,44,50,45,23,-2.256432,3.713661,7.91785,0.520457,-0.393397,-1.204626
A,35,43,51,45,23,-2.256432,3.713661,7.91785,0.520457,-0.393397,-1.204626
A,35,43,51,45,24,-2.256432,3.713661,7.91785,0.520457,-0.393397,-1.204626
A,36,44,50,47,23,-2.256432,3.713661,7.91785,0.520457,-0.393397,-1.204626
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,34,41,50,46,23,-4.533203,3.090331,6.873384,-0.302989,0.327424,1.027475
A,34,42,51,44,21,-4.533203,3.090331,6.873384,-0.302989,0.327424,1.027475
A,34,42,46,45,23,-4.533203,3.090331,6.873384,-0.302989,0.327424,1.027475
A,34,42,51,45,24,-4.533203,3.090331,6.873384,-0.302989,0.327424,1.027475
A,34,42,50,46,24,-4.533203,3.090331,6.873384,-0.302989,0.327424,1.027475
A,32,42,51,44,24,-4.533203,3.090331,6.873384,-0.302989,0.327424,1.027475
A,33,44,50,46,23,-4.533203,3.090331,6.873384,-0.302989,0.327424,1.027475
A,33,42,51,44,25,-4.533203,3.090331,6.873384,-0.302989,0.327424,1.027475
A,33,40,51,44,24,-4.533203,3.090331,6.873384,-0.302989,0.327424,1.027475
A,34,44,48,44,23,-4.533203,3.090331,6.873384,-0.302989,0.327424,1.027475
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,29,40,46,39,19,-6.82792,3.221936,8.737391,0.141721,-0.342085,-0.334754
A,30,42,45,37,18,-6.82792,3.221936,8.737391,0.141721,-0.342085,-0.334754
A,28,38,45,38,16,-6.82792,3.221936,8.737391,0.141721,-0.342085,-0.334754
A,30,40,45,38,18,-6.82792,3.221936,8.737391,0.141721,-0.342085,-0.334754
A,27,38,46,37,17,-6.82792,3.221936,8.737391,0.141721,-0.342085,-0.334754
A,29,36,46,37,19,-6.82792,3.221936,8.737391,0.141721,-0.342085,-0.334754
A,29,36,46,37,18,-6.82792,3.221936,8.737391,0.141721,-0.342085,-0.334754
A,29,37,43,36,19,-6.82792,3.221936,8.737391,0.141721,-0.342085,-0.334754
A,29,36,41,37,19,-6.82792,3.221936,8.737391,0.141721,-0.342085,-0.334754
A,27,36,43,34,17,-6.82792,3.221936,8.737391,0.141721,-0.342085,-0.334754
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,29,36,43,38,20,-1.367498,4.651647,7.034898,-0.979828,0.338419,0.557109
A,29,37,44,37,20,-1.367498,4.651647,7.034898,-0.979828,0.338419,0.557109
A,30,37,45,37,19,-1.367498,4.651647,7.034898,-0.979828,0.338419,0.557109
A,29,37,46,37,19,-1.367498,4.651647,7.034898,-0.979828,0.338419,0.557109
A,29,37,46,38,19,-1.367498,4.651647,7.034898,-0.979828,0.338419,0.557109
A,29,39,44,37,17,-1.367498,4.651647,7.034898,-0.979828,0.338419,0.557109
A,27,37,42,37,17,-1.367498,4.651647,7.034898,-0.979828,0.338419,0.557109
A,30,39,44,36,17,-1.367498,4.651647,7.034898,-0.979828,0.338419,0.557109
A,30,39,45,38,19,-1.367498,4.651647,7.034898,-0.979828,0.338419,0.557109
A,30,38,45,39,19,-1.367498,4.651647,7.034898,-0.979828,0.338419,0.557109
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,26,30,41,36,18,-4.867002,1.295714,7.519445,0.323759,-0.008552,0.133169
A,28,32,40,34,18,-4.867002,1.295714,7.519445,0.323759,-0.008552,0.133169
A,31,32,43,36,19,-4.867002,1.295714,7.519445,0.323759,-0.008552,0.133169
A,31,33,41,37,18,-4.867002,1.295714,7.519445,0.323759,-0.008552,0.133169
A,32,34,42,35,18,-4.867002,1.295714,7.519445,0.323759,-0.008552,0.133169
A,33,33,42,37,17,-4.867002,1.295714,7.519445,0.323759,-0.008552,0.133169
A,35,36,43,35,19,-4.867002,1.295714,7.519445,0.323759,-0.008552,0.133169
A,35,35,45,38,18,-4.867002,1.295714,7.519445,0.323759,-0.008552,0.133169
A,35,34,43,39,19,-4.867002,1.295714,7.519445,0.323759,-0.008552,0.133169
A,35,35,40,38,20,-4.867002,1.295714,7.519445,0.323759,-0.008552,0.133169
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,32,34,42,38,18,-2.804389,5.050053,5.912665,0.276111,-0.28222,0.0281
A,31,35,43,36,20,-2.804389,5.050053,5.912665,0.276111,-0.28222,0.0281
A,32,34,41,37,20,-2.804389,5.050053,5.912665,0.276111,-0.28222,0.0281
A,32,35,46,37,20,-2.804389,5.050053,5.912665,0.276111,-0.28222,0.0281
A,32,36,42,37,20,-2.804389,5.050053,5.912665,0.276111,-0.28222,0.0281
A,32,35,43,37,19,-2.804389,5.050053,5.912665,0.276111,-0.28222,0.0281
A,32,35,41,37,19,-2.804389,5.050053,5.912665,0.276111,-0.28222,0.0281
A,32,34,42,38,18,-2.804389,5.050053,5.912665,0.276111,-0.28222,0.0281
A,32,34,45,38,20,-2.804389,5.050053,5.912665,0.276111,-0.28222,0.0281
A,32,35,45,38,20,-2.804389,5.050053,5.912665,0.276111,-0.28222,0.0281
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,23,26,44,36,15,-1.941776,5.87079,9.162118,0.471588,0.791681,1.095892
A,24,28,44,36,16,-1.941776,5.87079,9.162118,0.471588,0.791681,1.095892
A,27,28,40,36,15,-1.941776,5.87079,9.162118,0.471588,0.791681,1.095892
A,27,28,42,35,15,-1.941776,5.87079,9.162118,0.471588,0.791681,1.095892
A,27,29,40,36,16,-1.941776,5.87079,9.162118,0.471588,0.791681,1.095892
A,29,29,40,35,13,-1.941776,5.87079,9.162118,0.471588,0.791681,1.095892
A,31,28,45,36,16,-1.941776,5.87079,9.162118,0.471588,0.791681,1.095892
A,30,28,40,36,16,-1.941776,5.87079,9.162118,0.471588,0.791681,1.095892
A,30,28,44,36,16,-1.941776,5.87079,9.162118,0.471588,0.791681,1.095892
A,30,29,42,35,15,-1.941776,5.87079,9.162118,0.471588,0.791681,1.095892
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,29,35,51,44,24,-0.911665,5.440083,5.057231,0.191812,-0.647517,-1.279152
A,29,33,49,43,22,-0.911665,5.440083,5.057231,0.191812,-0.647517,-1.279152
A,29,32,44,40,22,-0.911665,5.440083,5.057231,0.191812,-0.647517,-1.279152
A,30,33,48,40,21,-0.911665,5.440083,5.057231,0.191812,-0.647517,-1.279152
A,31,34,45,42,20,-0.911665,5.440083,5.057231,0.191812,-0.647517,-1.279152
A,31,33,48,40,18,-0.911665,5.440083,5.057231,0.191812,-0.647517,-1.279152
A,31,32,44,39,18,-0.911665,5.440083,5.057231,0.191812,-0.647517,-1.279152
A,31,33,46,39,20,-0.911665,5.440083,5.057231,0.191812,-0.647517,-1.279152
A,31,33,45,41,20,-0.911665,5.440083,5.057231,0.191812,-0.647517,-1.279152
A,31,33,45,39,20,-0.911665,5.440083,5.057231,0.191812,-0.647517,-1.279152
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,29,33,45,38,19,-3.56052,7.432107,8.26481,-0.509462,-0.095295,-0.454484
A,29,33,42,35,19,-3.56052,7.432107,8.26481,-0.509462,-0.095295,-0.454484
A,28,33,40,38,20,-3.56052,7.432107,8.26481,-0.509462,-0.095295,-0.454484
A,29,34,43,38,19,-3.56052,7.432107,8.26481,-0.509462,-0.095295,-0.454484
A,29,33,44,38,20,-3.56052,7.432107,8.26481,-0.509462,-0.095295,-0.454484
A,28,33,43,35,19,-3.56052,7.432107,8.26481,-0.509462,-0.095295,-0.454484
A,29,34,43,38,19,-3.56052,7.432107,8.26481,-0.509462,-0.095295,-0.454484
A,30,31,43,35,19,-3.56052,7.432107,8.26481,-0.509462,-0.095295,-0.454484
A,28,32,43,34,19,-3.56052,7.432107,8.26481,-0.509462,-0.095295,-0.454484
A,27,34,42,38,19,-3.56052,7.432107,8.26481,-0.509462,-0.095295,-0.454484
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,31,32,47,42,14,-1.795813,10.314261,9.881161,-0.086743,0.174707,0.740369
A,30,32,46,42,14,-1.795813,10.314261,9.881161,-0.086743,0.174707,0.740369
A,31,32,48,39,13,-1.795813,10.314261,9.881161,-0.086743,0.174707,0.740369
A,31,32,45,42,12,-1.795813,10.314261,9.881161,-0.086743,0.174707,0.740369
A,31,34,46,42,14,-1.795813,10.314261,9.881161,-0.086743,0.174707,0.740369
A,31,34,46,43,14,-1.795813,10.314261,9.881161,-0.086743,0.174707,0.740369
A,30,32,47,42,14,-1.795813,10.314261,9.881161,-0.086743,0.174707,0.740369
A,30,34,45,40,11,-1.795813,10.314261,9.881161,-0.086743,0.174707,0.740369
A,31,32,47,41,14,-1.795813,10.314261,9.881161,-0.086743,0.174707,0.740369
A,31,32,45,42,14,-1.795813,10.314261,9.881161,-0.086743,0.174707,0.740369
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,30,33,43,41,13,-1.592423,4.942375,7.241878,0.906524,0.434936,0.587652
A,30,35,43,39,14,-1.592423,4.942375,7.241878,0.906524,0.434936,0.587652
A,30,33,45,40,11,-1.592423,4.942375,7.241878,0.906524,0.434936,0.587652
A,30,33,43,39,13,-1.592423,4.942375,7.241878,0.906524,0.434936,0.587652
A,29,33,44,40,13,-1.592423,4.942375,7.241878,0.906524,0.434936,0.587652
A,31,32,43,38,11,-1.592423,4.942375,7.241878,0.906524,0.434936,0.587652
A,31,32,40,38,14,-1.592423,4.942375,7.241878,0.906524,0.434936,0.587652
A,31,32,43,36,13,-1.592423,4.942375,7.241878,0.906524,0.434936,0.587652
A,30,30,42,36,13,-1.592423,4.942375,7.241878,0.906524,0.434936,0.587652
A,31,34,43,41,13,-1.592423,4.942375,7.241878,0.906524,0.434936,0.587652
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,29,32,42,38,12,-4.643272,7.082755,3.096313,-0.977384,-0.122173,-0.333532
A,29,32,43,38,12,-4.643272,7.082755,3.096313,-0.977384,-0.122173,-0.333532
A,29,31,40,38,14,-4.643272,7.082755,3.096313,-0.977384,-0.122173,-0.333532
A,29,31,43,39,13,-4.643272,7.082755,3.096313,-0.977384,-0.122173,-0.333532
A,29,31,44,35,13,-4.643272,7.082755,3.096313,-0.977384,-0.122173,-0.333532
A,27,31,43,38,12,-4.643272,7.082755,3.096313,-0.977384,-0.122173,-0.333532
A,28,31,40,38,13,-4.643272,7.082755,3.096313,-0.977384,-0.122173,-0.333532
A,29,31,42,36,13,-4.643272,7.082755,3.096313,-0.977384,-0.122173,-0.333532
A,30,31,42,38,13,-4.643272,7.082755,3.096313,-0.977384,-0.122173,-0.333532
A,30,33,43,37,12,-4.643272,7.082755,3.096313,-0.977384,-0.122173,-0.333532
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,26,38,49,51,26,-3.360719,4.723432,9.299706,0.095295,-0.28222,0.428827
A,26,39,51,52,25,-3.360719,4.723432,9.299706,0.095295,-0.28222,0.428827
A,25,38,51,50,24,-3.360719,4.723432,9.299706,0.095295,-0.28222,0.428827
A,25,38,52,51,25,-3.360719,4.723432,9.299706,0.095295,-0.28222,0.428827
A,25,38,53,50,24,-3.360719,4.723432,9.299706,0.095295,-0.28222,0.428827
A,24,38,51,46,23,-3.360719,4.723432,9.299706,0.095295,-0.28222,0.428827
A,25,38,50,50,23,-3.360719,4.723432,9.299706,0.095295,-0.28222,0.428827
A,26,37,50,50,22,-3.360719,4.723432,9.299706,0.095295,-0.28222,0.428827
A,25,39,51,48,23,-3.360719,4.723432,9.299706,0.095295,-0.28222,0.428827
A,25,37,50,51,22,-3.360719,4.723432,9.299706,0.095295,-0.28222,0.428827
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,26,33,45,40,21,0.200997,9.919446,1.999203,1.534493,0.985936,-0.34575
A,26,32,45,39,21,0.200997,9.919446,1.999203,1.534493,0.985936,-0.34575
A,25,32,43,41,19,0.200997,9.919446,1.999203,1.534493,0.985936,-0.34575
A,25,34,43,41,21,0.200997,9.919446,1.999203,1.534493,0.985936,-0.34575
A,25,33,43,39,21,0.200997,9.919446,1.999203,1.534493,0.985936,-0.34575
A,25,34,43,38,21,0.200997,9.919446,1.999203,1.534493,0.985936,-0.34575
A,26,31,43,39,20,0.200997,9.919446,1.999203,1.534493,0.985936,-0.34575
A,25,33,44,38,21,0.200997,9.919446,1.999203,1.534493,0.985936,-0.34575
A,25,33,45,38,20,0.200997,9.919446,1.999203,1.534493,0.985936,-0.34575
A,25,33,43,38,20,0.200997,9.919446,1.999203,1.534493,0.985936,-0.34575
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,22,30,38,34,16,-2.945565,6.246464,0.388834,0.514349,0.085521,-0.11973
A,23,30,37,31,18,-2.945565,6.246464,0.388834,0.514349,0.085521,-0.11973
A,22,29,38,31,17,-2.945565,6.246464,0.388834,0.514349,0.085521,-0.11973
A,23,30,35,34,18,-2.945565,6.246464,0.388834,0.514349,0.085521,-0.11973
A,24,30,38,34,17,-2.945565,6.246464,0.388834,0.514349,0.085521,-0.11973
A,23,30,35,33,15,-2.945565,6.246464,0.388834,0.514349,0.085521,-0.11973
A,23,29,40,34,18,-2.945565,6.246464,0.388834,0.514349,0.085521,-0.11973
A,23,28,38,33,17,-2.945565,6.246464,0.388834,0.514349,0.085521,-0.11973
A,23,29,38,33,15,-2.945565,6.246464,0.388834,0.514349,0.085521,-0.11973
A,23,30,37,36,17,-2.945565,6.246464,0.388834,0.514349,0.085521,-0.11973
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,25,31,46,41,20,5.089534,7.196414,1.213161,-0.141721,0.217468,-0.249233
A,23,30,45,40,20,5.089534,7.196414,1.213161,-0.141721,0.217468,-0.249233
A,23,27,44,39,16,5.089534,7.196414,1.213161,-0.141721,0.217468,-0.249233
A,23,28,42,38,18,5.089534,7.196414,1.213161,-0.141721,0.217468,-0.249233
A,23,28,41,38,18,5.089534,7.196414,1.213161,-0.141721,0.217468,-0.249233
A,21,24,39,36,17,5.089534,7.196414,1.213161,-0.141721,0.217468,-0.249233
A,22,26,41,36,17,5.089534,7.196414,1.213161,-0.141721,0.217468,-0.249233
A,24,26,39,36,17,5.089534,7.196414,1.213161,-0.141721,0.217468,-0.249233
A,23,25,39,36,17,5.089534,7.196414,1.213161,-0.141721,0.217468,-0.249233
A,22,27,38,36,14,5.089534,7.196414,1.213161,-0.141721,0.217468,-0.249233
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,32,32,47,38,14,6.084948,7.707282,2.43709,-0.15516,0.002443,-0.052534
A,32,31,47,37,14,6.084948,7.707282,2.43709,-0.15516,0.002443,-0.052534
A,33,31,45,34,14,6.084948,7.707282,2.43709,-0.15516,0.002443,-0.052534
A,32,30,44,35,14,6.084948,7.707282,2.43709,-0.15516,0.002443,-0.052534
A,31,30,44,35,14,6.084948,7.707282,2.43709,-0.15516,0.002443,-0.052534
A,31,30,43,35,14,6.084948,7.707282,2.43709,-0.15516,0.002443,-0.052534
A,31,27,42,31,13,6.084948,7.707282,2.43709,-0.15516,0.002443,-0.052534
A,31,27,42,32,13,6.084948,7.707282,2.43709,-0.15516,0.002443,-0.052534
A,31,29,44,33,13,6.084948,7.707282,2.43709,-0.15516,0.002443,-0.052534
A,32,29,44,34,12,6.084948,7.707282,2.43709,-0.15516,0.002443,-0.052534
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,29,28,39,31,14,6.882955,7.117451,1.006182,-0.107512,-0.097738,0.179594
A,29,28,38,31,13,6.882955,7.117451,1.006182,-0.107512,-0.097738,0.179594
A,29,27,40,32,13,6.882955,7.117451,1.006182,-0.107512,-0.097738,0.179594
A,29,26,40,31,13,6.882955,7.117451,1.006182,-0.107512,-0.097738,0.179594
A,29,28,40,32,13,6.882955,7.117451,1.006182,-0.107512,-0.097738,0.179594
A,29,29,40,31,13,6.882955,7.117451,1.006182,-0.107512,-0.097738,0.179594
A,29,28,39,32,13,6.882955,7.117451,1.006182,-0.107512,-0.097738,0.179594
A,29,28,41,32,12,6.882955,7.117451,1.006182,-0.107512,-0.097738,0.179594
A,29,28,38,34,12,6.882955,7.117451,1.006182,-0.107512,-0.097738,0.179594
A,28,26,38,29,13,6.882955,7.117451,1.006182,-0.107512,-0.097738,0.179594
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,29,34,46,38,18,6.59103,6.568298,-3.298506,-0.362854,0.067195,-0.087965
A,27,36,45,38,18,6.59103,6.568298,-3.298506,-0.362854,0.067195,-0.087965
A,28,35,43,36,18,6.59103,6.568298,-3.298506,-0.362854,0.067195,-0.087965
A,27,35,45,34,18,6.59103,6.568298,-3.298506,-0.362854,0.067195,-0.087965
A,28,35,42,35,17,6.59103,6.568298,-3.298506,-0.362854,0.067195,-0.087965
A,24,33,45,36,15,6.59103,6.568298,-3.298506,-0.362854,0.067195,-0.087965
A,24,31,43,37,17,6.59103,6.568298,-3.298506,-0.362854,0.067195,-0.087965
A,25,33,42,32,17,6.59103,6.568298,-3.298506,-0.362854,0.067195,-0.087965
A,25,32,43,34,17,6.59103,6.568298,-3.298506,-0.362854,0.067195,-0.087965
A,25,33,43,35,18,6.59103,6.568298,-3.298506,-0.362854,0.067195,-0.087965
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,29,33,41,34,14,5.079963,7.726425,5.121837,-0.581544,-0.92485,-0.078191
A,28,33,40,34,15,5.079963,7.726425,5.121837,-0.581544,-0.92485,-0.078191
A,29,32,42,35,18,5.079963,7.726425,5.121837,-0.581544,-0.92485,-0.078191
A,28,31,41,34,17,5.079963,7.726425,5.121837,-0.581544,-0.92485,-0.078191
