Resistance,Thumb,Index,Middle,Ring,Pinky,,,,,,
Straight resistance,143204.625,55087.67969,50916.53125,54617.53125,147378.5938,,,,,,
Bend resistance,309419.25,136426.375,105947.0859,122952.75,334740.3125,,,,,,
Time to read data,,,,,,,,,,,
Label,Thumb,Index,Middle,Ring,Pinky,ax,ay,az,gx,gy,gz
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,23,31,48,43,19,-0.59342,7.931011,4.086941,0.166155,-0.328645,-0.069639
A,23,28,45,38,18,-0.59342,7.931011,4.086941,0.166155,-0.328645,-0.069639
A,23,31,45,39,17,-0.59342,7.931011,4.086941,0.166155,-0.328645,-0.069639
A,953,30,45,42,17,-0.59342,7.931011,4.086941,0.166155,-0.328645,-0.069639
A,689,29,45,41,17,-0.59342,7.931011,4.086941,0.166155,-0.328645,-0.069639
A,22,29,44,41,15,-0.59342,7.931011,4.086941,0.166155,-0.328645,-0.069639
A,22,29,46,41,17,-0.59342,7.931011,4.086941,0.166155,-0.328645,-0.069639
A,23,28,45,38,17,-0.59342,7.931011,4.086941,0.166155,-0.328645,-0.069639
A,22,29,45,40,17,-0.59342,7.931011,4.086941,0.166155,-0.328645,-0.069639
A,22,30,45,39,17,-0.59342,7.931011,4.086941,0.166155,-0.328645,-0.069639
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,20,29,41,39,17,-1.537389,9.001799,2.40718,0.037874,-0.182038,0.09896
A,21,28,43,38,18,-1.537389,9.001799,2.40718,0.037874,-0.182038,0.09896
A,21,28,43,36,17,-1.537389,9.001799,2.40718,0.037874,-0.182038,0.09896
A,20,29,44,38,17,-1.537389,9.001799,2.40718,0.037874,-0.182038,0.09896
A,19,30,44,39,15,-1.537389,9.001799,2.40718,0.037874,-0.182038,0.09896
A,20,31,45,39,17,-1.537389,9.001799,2.40718,0.037874,-0.182038,0.09896
A,20,30,41,39,16,-1.537389,9.001799,2.40718,0.037874,-0.182038,0.09896
A,20,29,45,39,17,-1.537389,9.001799,2.40718,0.037874,-0.182038,0.09896
A,21,30,43,39,17,-1.537389,9.001799,2.40718,0.037874,-0.182038,0.09896
A,21,30,43,41,17,-1.537389,9.001799,2.40718,0.037874,-0.182038,0.09896
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,44,31,43,39,17,-1.363909,6.929615,6.343372,-0.507018,-0.309098,-0.740369
A,39,29,44,38,16,-1.363909,6.929615,6.343372,-0.507018,-0.309098,-0.740369
A,38,26,42,38,18,-1.363909,6.929615,6.343372,-0.507018,-0.309098,-0.740369
A,35,29,44,39,18,-1.363909,6.929615,6.343372,-0.507018,-0.309098,-0.740369
A,37,29,43,39,17,-1.363909,6.929615,6.343372,-0.507018,-0.309098,-0.740369
A,35,27,43,38,17,-1.363909,6.929615,6.343372,-0.507018,-0.309098,-0.740369
A,37,30,41,39,17,-1.363909,6.929615,6.343372,-0.507018,-0.309098,-0.740369
A,35,30,42,39,17,-1.363909,6.929615,6.343372,-0.507018,-0.309098,-0.740369
A,35,30,42,38,18,-1.363909,6.929615,6.343372,-0.507018,-0.309098,-0.740369
A,35,30,42,36,18,-1.363909,6.929615,6.343372,-0.507018,-0.309098,-0.740369
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,35,28,42,38,17,-2.618945,6.400801,6.656833,0.039095,-0.037874,0.043982
A,36,31,43,36,17,-2.618945,6.400801,6.656833,0.039095,-0.037874,0.043982
A,37,33,43,38,18,-2.618945,6.400801,6.656833,0.039095,-0.037874,0.043982
A,37,32,40,39,18,-2.618945,6.400801,6.656833,0.039095,-0.037874,0.043982
A,36,33,43,39,18,-2.618945,6.400801,6.656833,0.039095,-0.037874,0.043982
A,36,32,44,39,16,-2.618945,6.400801,6.656833,0.039095,-0.037874,0.043982
A,37,32,42,41,18,-2.618945,6.400801,6.656833,0.039095,-0.037874,0.043982
A,35,33,42,41,19,-2.618945,6.400801,6.656833,0.039095,-0.037874,0.043982
A,38,33,44,39,19,-2.618945,6.400801,6.656833,0.039095,-0.037874,0.043982
A,37,33,45,40,19,-2.618945,6.400801,6.656833,0.039095,-0.037874,0.043982
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,33,31,42,37,17,-2.337788,7.117451,6.047859,-0.191812,0.206472,-0.031765
A,33,31,42,39,17,-2.337788,7.117451,6.047859,-0.191812,0.206472,-0.031765
A,33,31,42,39,17,-2.337788,7.117451,6.047859,-0.191812,0.206472,-0.031765
A,33,24,33,31,15,-2.337788,7.117451,6.047859,-0.191812,0.206472,-0.031765
A,19,6,7,5,7,-2.337788,7.117451,6.047859,-0.191812,0.206472,-0.031765
A,8,0,3,1,4,-2.337788,7.117451,6.047859,-0.191812,0.206472,-0.031765
A,0,0,1,0,1,-2.337788,7.117451,6.047859,-0.191812,0.206472,-0.031765
A,2,0,0,0,1,-2.337788,7.117451,6.047859,-0.191812,0.206472,-0.031765
A,0,0,2,0,3,-2.337788,7.117451,6.047859,-0.191812,0.206472,-0.031765
A,3,0,1,0,4,-2.337788,7.117451,6.047859,-0.191812,0.206472,-0.031765
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,32,41,54,45,20,0.0335,5.913861,7.830512,-0.012217,0.051313,0.012217
A,32,40,51,44,20,0.0335,5.913861,7.830512,-0.012217,0.051313,0.012217
A,33,42,53,45,20,0.0335,5.913861,7.830512,-0.012217,0.051313,0.012217
A,32,41,52,45,20,0.0335,5.913861,7.830512,-0.012217,0.051313,0.012217
A,32,40,52,43,20,0.0335,5.913861,7.830512,-0.012217,0.051313,0.012217
A,33,40,52,45,19,0.0335,5.913861,7.830512,-0.012217,0.051313,0.012217
A,33,38,52,41,19,0.0335,5.913861,7.830512,-0.012217,0.051313,0.012217
A,32,40,52,42,20,0.0335,5.913861,7.830512,-0.012217,0.051313,0.012217
A,33,40,53,43,20,0.0335,5.913861,7.830512,-0.012217,0.051313,0.012217
A,33,39,50,43,18,0.0335,5.913861,7.830512,-0.012217,0.051313,0.012217
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,33,37,49,38,19,-0.685544,6.161518,7.435696,0.023213,-0.064752,-0.001222
A,34,38,49,41,19,-0.685544,6.161518,7.435696,0.023213,-0.064752,-0.001222
A,32,37,49,40,19,-0.685544,6.161518,7.435696,0.023213,-0.064752,-0.001222
A,31,37,46,40,19,-0.685544,6.161518,7.435696,0.023213,-0.064752,-0.001222
A,31,37,47,40,18,-0.685544,6.161518,7.435696,0.023213,-0.064752,-0.001222
A,31,36,46,40,19,-0.685544,6.161518,7.435696,0.023213,-0.064752,-0.001222
A,31,37,46,40,18,-0.685544,6.161518,7.435696,0.023213,-0.064752,-0.001222
A,31,36,49,40,19,-0.685544,6.161518,7.435696,0.023213,-0.064752,-0.001222
A,30,36,49,40,20,-0.685544,6.161518,7.435696,0.023213,-0.064752,-0.001222
A,30,37,49,40,20,-0.685544,6.161518,7.435696,0.023213,-0.064752,-0.001222
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,22,32,42,37,18,0.693919,6.738188,6.139983,-0.008552,0.235794,0.051313
A,25,32,40,36,17,0.693919,6.738188,6.139983,-0.008552,0.235794,0.051313
A,24,32,40,34,17,0.693919,6.738188,6.139983,-0.008552,0.235794,0.051313
A,23,31,40,36,17,0.693919,6.738188,6.139983,-0.008552,0.235794,0.051313
A,23,31,40,34,17,0.693919,6.738188,6.139983,-0.008552,0.235794,0.051313
A,24,31,37,35,17,0.693919,6.738188,6.139983,-0.008552,0.235794,0.051313
A,25,31,39,36,17,0.693919,6.738188,6.139983,-0.008552,0.235794,0.051313
A,25,32,40,35,17,0.693919,6.738188,6.139983,-0.008552,0.235794,0.051313
A,24,30,40,36,17,0.693919,6.738188,6.139983,-0.008552,0.235794,0.051313
A,25,31,37,36,16,0.693919,6.738188,6.139983,-0.008552,0.235794,0.051313
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,26,32,42,36,17,-1.494318,5.035695,8.469396,-0.180816,-0.030543,0.021991
A,26,32,39,36,17,-1.494318,5.035695,8.469396,-0.180816,-0.030543,0.021991
A,27,32,42,36,17,-1.494318,5.035695,8.469396,-0.180816,-0.030543,0.021991
A,26,30,41,36,17,-1.494318,5.035695,8.469396,-0.180816,-0.030543,0.021991
A,26,34,41,37,17,-1.494318,5.035695,8.469396,-0.180816,-0.030543,0.021991
A,27,31,42,37,17,-1.494318,5.035695,8.469396,-0.180816,-0.030543,0.021991
A,24,32,42,36,17,-1.494318,5.035695,8.469396,-0.180816,-0.030543,0.021991
A,26,33,40,34,17,-1.494318,5.035695,8.469396,-0.180816,-0.030543,0.021991
A,25,33,41,38,16,-1.494318,5.035695,8.469396,-0.180816,-0.030543,0.021991
A,26,32,42,36,17,-1.494318,5.035695,8.469396,-0.180816,-0.030543,0.021991
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,21,34,46,41,21,-2.825924,4.366901,7.746763,0.069639,0.109956,-0.083078
A,22,36,43,42,22,-2.825924,4.366901,7.746763,0.069639,0.109956,-0.083078
A,21,36,45,38,21,-2.825924,4.366901,7.746763,0.069639,0.109956,-0.083078
A,22,36,45,39,21,-2.825924,4.366901,7.746763,0.069639,0.109956,-0.083078
A,23,36,45,43,21,-2.825924,4.366901,7.746763,0.069639,0.109956,-0.083078
A,22,36,45,40,21,-2.825924,4.366901,7.746763,0.069639,0.109956,-0.083078
A,22,34,46,43,21,-2.825924,4.366901,7.746763,0.069639,0.109956,-0.083078
A,22,35,42,41,19,-2.825924,4.366901,7.746763,0.069639,0.109956,-0.083078
A,23,36,45,42,21,-2.825924,4.366901,7.746763,0.069639,0.109956,-0.083078
A,22,35,45,40,21,-2.825924,4.366901,7.746763,0.069639,0.109956,-0.083078
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,22,36,44,40,20,0.367298,5.69731,7.678568,-0.081856,-0.018326,0.079412
A,22,35,44,40,21,0.367298,5.69731,7.678568,-0.081856,-0.018326,0.079412
A,21,34,43,39,20,0.367298,5.69731,7.678568,-0.081856,-0.018326,0.079412
A,22,32,44,39,20,0.367298,5.69731,7.678568,-0.081856,-0.018326,0.079412
A,22,34,43,39,20,0.367298,5.69731,7.678568,-0.081856,-0.018326,0.079412
A,22,35,45,41,20,0.367298,5.69731,7.678568,-0.081856,-0.018326,0.079412
A,22,34,44,39,18,0.367298,5.69731,7.678568,-0.081856,-0.018326,0.079412
A,21,33,43,40,20,0.367298,5.69731,7.678568,-0.081856,-0.018326,0.079412
A,20,35,43,36,20,0.367298,5.69731,7.678568,-0.081856,-0.018326,0.079412
A,22,35,44,39,19,0.367298,5.69731,7.678568,-0.081856,-0.018326,0.079412
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,22,33,46,40,20,-0.719043,6.491727,7.062416,-0.069639,-0.004887,0.047647
A,22,35,44,41,20,-0.719043,6.491727,7.062416,-0.069639,-0.004887,0.047647
A,22,33,44,39,20,-0.719043,6.491727,7.062416,-0.069639,-0.004887,0.047647
A,22,34,45,37,20,-0.719043,6.491727,7.062416,-0.069639,-0.004887,0.047647
A,21,34,43,38,19,-0.719043,6.491727,7.062416,-0.069639,-0.004887,0.047647
A,22,31,43,36,19,-0.719043,6.491727,7.062416,-0.069639,-0.004887,0.047647
A,22,33,45,39,19,-0.719043,6.491727,7.062416,-0.069639,-0.004887,0.047647
A,22,35,43,38,20,-0.719043,6.491727,7.062416,-0.069639,-0.004887,0.047647
A,20,34,43,40,20,-0.719043,6.491727,7.062416,-0.069639,-0.004887,0.047647
A,22,32,43,41,19,-0.719043,6.491727,7.062416,-0.069639,-0.004887,0.047647
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,21,35,43,38,20,-0.382852,6.016753,7.642675,-0.07086,0.013439,0.025656
A,22,33,44,38,20,-0.382852,6.016753,7.642675,-0.07086,0.013439,0.025656
A,22,35,44,40,19,-0.382852,6.016753,7.642675,-0.07086,0.013439,0.025656
A,22,33,43,36,19,-0.382852,6.016753,7.642675,-0.07086,0.013439,0.025656
A,22,33,44,40,19,-0.382852,6.016753,7.642675,-0.07086,0.013439,0.025656
A,22,34,43,38,19,-0.382852,6.016753,7.642675,-0.07086,0.013439,0.025656
A,22,34,43,36,19,-0.382852,6.016753,7.642675,-0.07086,0.013439,0.025656
A,22,34,44,38,20,-0.382852,6.016753,7.642675,-0.07086,0.013439,0.025656
A,22,34,43,39,19,-0.382852,6.016753,7.642675,-0.07086,0.013439,0.025656
A,21,33,45,38,17,-0.382852,6.016753,7.642675,-0.07086,0.013439,0.025656
Straighten your fingers,,,,,,,,,,,
Recording starts in 2s,,,,,,,,,,,
Do A,,,,,,,,,,,
A,22,35,42,37,19,-2.833102,6.748957,6.18784,-0.048869,-0.013439,0.086743
A,21,34,43,39,19,-2.833102,6.748957,6.18784,-0.048869,-0.013439,0.086743
A,22,33,43,38,20,-2.833102,6.748957,6.18784,-0.048869,-0.013439,0.086743
A,22,34,41,38,17,-2.833102,6.748957,6.18784,-0.048869,-0.013439,0.086743
