,1,2,3,4,5,6,7,8,9,10,11
97,55,4,5,5,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
98,57,3,4,3,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
99,54,4,5,5,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
100,54,4,3,3,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
101,55,3,4,3,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
102,55,3,6,3,4,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
103,54,4,6,3,5,0.742971,4.108477,8.935996,0.004887,0.006109,0.006109
107,55,4,5,3,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
108,55,4,5,4,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
109,54,3,5,5,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
110,54,4,5,1,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
111,54,4,6,5,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
112,54,2,5,4,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
113,54,4,5,3,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
114,55,4,6,2,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
115,54,4,4,3,3,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
116,54,3,5,4,5,2.817549,4.511667,8.139186,0.015882,-0.001222,-0.008552
120,58,6,6,4,3,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
121,58,5,5,0,3,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
122,56,5,6,1,3,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
123,55,5,4,3,1,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
124,55,5,7,3,1,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
125,55,6,6,3,2,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
126,53,5,4,3,2,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
127,55,5,5,3,3,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
128,55,6,7,3,4,2.739782,4.789234,8.067401,0.025656,0.014661,0.030543
